Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

00989/29296: [00707] T | ACTIVE      | 08 B6 DD
00997/29296: [00713] R | ACTIVE      | 50 00 57 CD
01006/29296: [00713] T | HALT        | 
01011/29296: [00717] R | HALT        | 52
01017/29296: [00717] T | READY       | 04 00
01024/29296: [00718] R | READY       | 93 70 FF FF FF FF 00 27 D0
01038/29296: [00718] T | ACTIVE      | 08 B6 DD
01046/29296: [00722] R | ACTIVE      | 60 00 F5 3B
01055/29296: [00722] T | ACTIVE      | 01
01061/29296: [00727] R | ACTIVE      | 50 00 57 CD
01070/29296: [00727] T | HALT        | 
01075/29296: [00730] R | HALT        | 52
01081/29296: [00730] T | READY       | 04 00
01088/29296: [00732] R | READY       | 93 70 FF FF FF FF 00 27 D0
01102/29296: [00732] T | ACTIVE      | 08 B6 DD
01110/29296: [00735] R | ACTIVE      | 50 00 57 CD
01119/29296: [00735] T | HALT        | 
01124/29296: [00738] R | HALT        | 52
01130/29296: [00738] T | READY       | 04 00
01137/29296: [00740] R | READY       | 93 70 FF FF FF FF 00 27 D0
01151/29296: [00740] T | ACTIVE      | 08 B6 DD
01159/29296: [00767] R | ACTIVE      | 50 00 57 CD
01168/29296: [00767] T | HALT        | 
01173/29296: [00770] R | HALT        | 52
01179/29296: [00770] T | READY       | 04 00
01186/29296: [00772] R | READY       | 93 70 FF FF FF 1F
01197/29296: [00772] T | READY       | 
01202/29296: [00772] R | READY       | 78 09 06
01210/29296: [00772] T | IDLE        | 
01215/29296: [00801] R | IDLE        | 26
01221/29296: [00801] T | READY       | 04 00
01228/29296: [00802] R | READY       | 93 20
01235/29296: [00802] T | READY       | FF FF FF FF 00
01245/29296: [00804] R | READY       | 93 70 FF FF FF FF 00 27 D0
01259/29296: [00804] T | ACTIVE      | 08 B6 DD
01267/29296: [00811] R | ACTIVE      | 50 00 57 CD
01276/29296: [00811] T | HALT        | 
01281/29296: [00815] R | HALT        | 52
01287/29296: [00815] T | READY       | 04 00
01294/29296: [00816] R | READY       | 93 70 FF FF FF FF 00 27 D0
